PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
1630608,"Cazalon, Malcolm",Malcolm Cazalon,0,2023,2023,malcolm_cazalon,malcolm_cazalon,0,,,,,,Y,11
1630577,"Champagnie, Julian",Julian Champagnie,1,2022,2024,julian_champagnie,julian_champagnie,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
1630551,"Champagnie, Justin",Justin Champagnie,1,2021,2024,justin_champagnie,justin_champagnie,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11
1631113,"Chandler, Kennedy",Kennedy Chandler,0,2022,2022,kennedy_chandler,kennedy_chandler,0,,,,,,Y,11
1629597,"Cheatham, Zylan",Zylan Cheatham,0,2019,2021,zylan_cheatham,zylan_cheatham,0,,,,,,Y,01
1629185,"Chiozza, Chris",Chris Chiozza,0,2018,2021,chris_chiozza,chris_chiozza,0,,,,,,Y,01
1642279,"Chomche, Ulrich",Ulrich Chomche,0,2024,2024,ulrich_chomche,ulrich_chomche,0,,,,,,N,00
1627737,"Chriss, Marquese",Marquese Chriss,0,2016,2021,marquese_chriss,marquese_chriss,0,,,,,,Y,11
1642353,"Christie, Cam",Cam Christie,0,2024,2024,cam_christie,cam_christie,0,,,,,,N,00
1631108,"Christie, Max",Max Christie,1,2022,2024,max_christie,max_christie,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,01
1630528,"Christopher, Josh",Josh Christopher,0,2021,2024,josh_christopher,josh_christopher,0,,,,,,Y,11
1631321,"Cissoko, Sidy",Sidy Cissoko,1,2023,2024,sidy_cissoko,sidy_cissoko,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11
1629109,"Clark, Gary",Gary Clark,0,2018,2021,gary_clark,gary_clark,0,,,,,,Y,01
1641740,"Clark, Jaylen",Jaylen Clark,1,2023,2024,jaylen_clark,jaylen_clark,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,N,00
1629634,"Clarke, Brandon",Brandon Clarke,1,2019,2024,brandon_clarke,brandon_clarke,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
203903,"Clarkson, Jordan",Jordan Clarkson,1,2014,2024,jordan_clarkson,jordan_clarkson,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01
1629651,"Claxton, Nic",Nic Claxton,1,2019,2024,nicolas_claxton,nic_claxton,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,01
1642270,"Clingan, Donovan",Donovan Clingan,0,2024,2024,donovan_clingan,donovan_clingan,0,,,,,,N,00
1641730,"Clowney, Noah",Noah Clowney,1,2023,2024,noah_clowney,noah_clowney,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,11
1629599,"Coffey, Amir",Amir Coffey,1,2019,2024,amir_coffey,amir_coffey,1610612746,LA,Clippers,LAC,clippers,clippers,Y,01
1642268,"Collier, Isaiah",Isaiah Collier,0,2024,2024,tmp_isaiah_collier,isaiah_collier,0,,,,,,N,00
1628381,"Collins, John",John Collins,1,2017,2024,john_collins,john_collins,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00
1628380,"Collins, Zach",Zach Collins,1,2017,2024,zach_collins,zach_collins,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
201954,"Collison, Darren",Darren Collison,0,2009,2021,darren_collison,darren_collison,0,,,,,,Y,01
1628435,"Comanche, Chance",Chance Comanche,0,2022,2022,chance_comanche,chance_comanche,0,,,,,,Y,01
201144,"Conley, Mike",Mike Conley,1,2007,2024,mike_conley,mike_conley,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,00
1626192,"Connaughton, Pat",Pat Connaughton,1,2015,2024,pat_connaughton,pat_connaughton,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
1626188,"Cook, Quinn",Quinn Cook,0,2016,2020,quinn_cook,quinn_cook,0,,,,,,Y,01
1629076,"Cook, Tyler",Tyler Cook,0,2019,2021,tyler_cook,tyler_cook,0,,,,,,Y,01
1641645,"Cooks, Xavier",Xavier Cooks,0,2022,2022,xavier_cooks,xavier_cooks,0,,,,,,Y,00
1630536,"Cooper, Sharife",Sharife Cooper,0,2021,2021,sharife_cooper,sharife_cooper,0,,,,,,Y,11
1627822,"Cornelie, Petr",Petr Cornelie,0,2021,2021,petr_cornelie,petr_cornelie,0,,,,,,Y,01
1641731,"Coulibaly, Bilal",Bilal Coulibaly,1,2023,2024,bilal_coulibaly,bilal_coulibaly,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
1641741,"Council IV, Ricky",Ricky Council IV,1,2023,2024,ricky_council_iv,ricky_council_iv,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,11
202326,"Cousins, DeMarcus",DeMarcus Cousins,0,2010,2021,demarcus_cousins,demarcus_cousins,0,,,,,,Y,00
203496,"Covington, Robert",Robert Covington,1,2013,2023,robert_covington,robert_covington,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,01
1628470,"Craig, Torrey",Torrey Craig,1,2017,2024,torrey_craig,torrey_craig,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,01
1642384,"Crawford, Isaiah",Isaiah Crawford,0,2024,2024,isaiah_crawford,isaiah_crawford,0,,,,,,N,00
203109,"Crowder, Jae",Jae Crowder,1,2012,2024,jae_crowder,jae_crowder,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
1630622,"Crutcher, Jalen",Jalen Crutcher,0,2023,2023,jalen_crutcher,jalen_crutcher,0,,,,,,Y,11
1629633,"Culver, Jarrett",Jarrett Culver,0,2019,2022,jarrett_culver,jarrett_culver,0,,,,,,Y,11
1629600,"Cumberland, Jarron",Jarron Cumberland,0,2021,2021,jarron_cumberland,jarron_cumberland,0,,,,,,Y,11
1630595,"Cunningham, Cade",Cade Cunningham,1,2021,2024,cade_cunningham,cade_cunningham,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
203552,"Curry, Seth",Seth Curry,1,2013,2024,seth_curry,seth_curry,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,01
201939,"Curry, Stephen",Stephen Curry,1,2009,2024,stephen_curry,stephen_curry,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,00
1642359,"Dadiet, Pacome",Pacome Dadiet,0,2024,2024,pacome_dadiet,pacome_dadiet,0,,,,,,N,00
1630700,"Daniels, Dyson",Dyson Daniels,1,2022,2024,dyson_daniels,dyson_daniels,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,11
1642368,"Dante, N'Faly",N'Faly Dante,0,2024,2024,nfaly_dante,nfaly_dante,0,,,,,,N,00
1630268,"Darling, Nate",Nate Darling,0,2020,2020,nate_darling,nate_darling,0,,,,,,Y,11
203076,"Davis, Anthony",Anthony Davis,1,2012,2024,anthony_davis,anthony_davis,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,00
202334,"Davis, Ed",Ed Davis,0,2010,2021,ed_davis,ed_davis,0,,,,,,Y,01
1631098,"Davis, Johnny",Johnny Davis,1,2022,2024,johnny_davis,johnny_davis,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11
1629056,"Davis, Terence",Terence Davis,0,2019,2022,terence_davis,terence_davis,0,,,,,,Y,11
1631120,"Davison, JD",JD Davison,1,2022,2024,jd_davison,jd_davison,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,11
1630620,"Days, Darius",Darius Days,0,2022,2022,darius_days,darius_days,0,,,,,,Y,11
1629602,"DeLaurier, Javin",Javin DeLaurier,0,2021,2021,javin_delaurier,javin_delaurier,0,,,,,,Y,01
201942,"DeRozan, DeMar",DeMar DeRozan,1,2009,2024,demar_derozan,demar_derozan,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
1630466,"Deck, Gabriel",Gabriel Deck,0,2020,2021,gabriel_deck,gabriel_deck,0,,,,,,Y,00
203473,"Dedmon, Dewayne",Dewayne Dedmon,0,2013,2022,dewayne_dedmon,dewayne_dedmon,0,,,,,,Y,11
1626155,"Dekker, Sam",Sam Dekker,0,2015,2021,sam_dekker,sam_dekker,0,,,,,,Y,01
203521,"Dellavedova, Matthew",Matthew Dellavedova,0,2013,2022,matthew_dellavedova,matthew_dellavedova,0,,,,,,Y,00
1641926,"Dennis, Dexter",Dexter Dennis,0,2023,2023,dexter_dennis,dexter_dennis,0,,,,,,Y,11
1628978,"DiVincenzo, Donte",Donte DiVincenzo,1,2018,2024,donte_divincenzo,donte_divincenzo,1610612752,New York,Knicks,NYK,knicks,knicks,Y,01
1631217,"Diabate, Moussa",Moussa Diabate,1,2022,2024,moussa_diabate,moussa_diabate,1610612746,LA,Clippers,LAC,clippers,clippers,Y,11
1629603,"Diakite, Mamadi",Mamadi Diakite,1,2020,2024,mamadi_diakite,mamadi_diakite,1610612752,New York,Knicks,NYK,knicks,knicks,Y,11
1627767,"Diallo, Cheick",Cheick Diallo,0,2016,2021,cheick_diallo,cheick_diallo,0,,,,,,Y,01
1628977,"Diallo, Hamidou",Hamidou Diallo,0,2018,2023,hamidou_diallo,hamidou_diallo,0,,,,,,Y,11
1641711,"Dick, Gradey",Gradey Dick,1,2023,2024,gradey_dick,gradey_dick,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11
203476,"Dieng, Gorgui",Gorgui Dieng,0,2013,2022,gorgui_dieng,gorgui_dieng,0,,,,,,Y,00
1631172,"Dieng, Ousmane",Ousmane Dieng,1,2022,2024,ousmane_dieng,ousmane_dieng,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,11
1642265,"Dillingham, Rob",Rob Dillingham,0,2024,2024,rob_dillingham,rob_dillingham,0,,,,,,N,00
203915,"Dinwiddie, Spencer",Spencer Dinwiddie,1,2014,2024,spencer_dinwiddie,spencer_dinwiddie,1610612747,Los Angeles,Lakers,LAL,lakers,lakers,Y,01
1642365,"Djurisic, Nikola",Nikola Djurisic,0,2024,2024,nikola_durisic,nikola_djurisic,0,,,,,,N,00
1642452,"Domask, Marcus",Marcus Domask,0,2024,2024,marcus_domask,marcus_domask,0,,,,,,N,00
1629029,"Doncic, Luka",Luka Doncic,1,2018,2024,luka_don,luka_doncic,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00
1628416,"Dorsey, Tyler",Tyler Dorsey,0,2017,2022,tyler_dorsey,tyler_dorsey,0,,,,,,Y,01
1629652,"Dort, Luguentz",Luguentz Dort,1,2019,2024,luguentz_dort,luguentz_dort,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,01
1630245,"Dosunmu, Ayo",Ayo Dosunmu,1,2021,2024,ayo_dosunmu,ayo_dosunmu,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
1628422,"Dotson, Damyean",Damyean Dotson,0,2017,2021,damyean_dotson,damyean_dotson,0,,,,,,Y,01
1629653,"Dotson, Devon",Devon Dotson,0,2020,2022,devon_dotson,devon_dotson,0,,,,,,Y,11
1629635,"Doumbouya, Sekou",Sekou Doumbouya,0,2019,2021,sekou_doumbouya,sekou_doumbouya,0,,,,,,Y,01
1630288,"Dowtin Jr., Jeff",Jeff Dowtin Jr.,1,2021,2024,jeff_dowtin,jeff_dowtin_jr,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,11
1628408,"Dozier, PJ",PJ Dozier,0,2017,2024,pj_dozier,pj_dozier,0,,,,,,Y,01
201609,"Dragic, Goran",Goran Dragic,0,2008,2022,goran_dragic,goran_dragic,0,,,,,,Y,00
1630929,"Drell, Henri",Henri Drell,1,2023,2024,henri_drell,henri_drell,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11
203083,"Drummond, Andre",Andre Drummond,1,2012,2024,andre_drummond,andre_drummond,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
1630537,"Duarte, Chris",Chris Duarte,1,2021,2024,chris_duarte,chris_duarte,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
1642505,"Ducas, Alex",Alex Ducas,0,2024,2024,alex_ducas,alex_ducas,0,,,,,,N,00
201162,"Dudley, Jared",Jared Dudley,0,2007,2020,jared_dudley,jared_dudley,0,,,,,,Y,00
1630561,"Duke Jr., David",David Duke Jr.,1,2021,2024,david_duke_jr,david_duke_jr,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11
1627739,"Dunn, Kris",Kris Dunn,1,2016,2024,kris_dunn,kris_dunn,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01
1642346,"Dunn, Ryan",Ryan Dunn,0,2024,2024,ryan_dunn,ryan_dunn,0,,,,,,N,00
201142,"Durant, Kevin",Kevin Durant,1,2007,2024,kevin_durant,kevin_durant,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
1631105,"Duren, Jalen",Jalen Duren,1,2022,2024,jalen_duren,jalen_duren,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
1631106,"Eason, Tari",Tari Eason,1,2022,2024,tari_eason,tari_eason,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
1630693,"Echenique, Jaime",Jaime Echenique,0,2021,2021,jaime_echenique,jaime_echenique,0,,,,,,Y,01
1641744,"Edey, Zach",Zach Edey,0,2024,2024,zach_edey,zach_edey,0,,,,,,N,00
1630162,"Edwards, Anthony",Anthony Edwards,1,2020,2024,anthony_edwards,anthony_edwards,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,00
1629035,"Edwards, Carsen",Carsen Edwards,0,2019,2021,carsen_edwards,carsen_edwards,0,,,,,,Y,01
1642399,"Edwards, Jesse",Jesse Edwards,0,2024,2024,jesse_edwards,jesse_edwards,0,,,,,,N,00
1642348,"Edwards, Justin",Justin Edwards,0,2024,2024,tmp_justin_edwards,justin_edwards,0,,,,,,N,00
1630556,"Edwards, Kessler",Kessler Edwards,1,2021,2024,kessler_edwards,kessler_edwards,1610612758,Sacramento,Kings,SAC,kings,kings,Y,11
1630306,"Edwards, Rob",Rob Edwards,0,2021,2021,rob_edwards,rob_edwards,0,,,,,,Y,11
1629604,"Elleby, CJ",CJ Elleby,0,2020,2021,cj_elleby,cj_elleby,0,,,,,,Y,11
1627740,"Ellenson, Henry",Henry Ellenson,0,2016,2020,henry_ellenson,henry_ellenson,0,,,,,,Y,01
201961,"Ellington, Wayne",Wayne Ellington,0,2009,2021,wayne_ellington,wayne_ellington,0,,,,,,Y,00
1631165,"Ellis, Keon",Keon Ellis,1,2022,2024,keon_ellis,keon_ellis,1610612758,Sacramento,Kings,SAC,kings,kings,Y,01
203954,"Embiid, Joel",Joel Embiid,1,2014,2024,joel_embiid,joel_embiid,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
1642400,"Enaruna, Tristan",Tristan Enaruna,0,2024,2024,tristan_enaruna,tristan_enaruna,0,,,,,,N,00
203516,"Ennis III, James",James Ennis III,0,2014,2021,james_ennis_iii,james_ennis_iii,0,,,,,,Y,01
1629234,"Eubanks, Drew",Drew Eubanks,1,2018,2024,drew_eubanks,drew_eubanks,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
1641787,"Evbuomwan, Tosan",Tosan Evbuomwan,1,2023,2024,tosan_evbuomwan,tosan_evbuomwan,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,11
203957,"Exum, Dante",Dante Exum,1,2014,2024,dante_exum,dante_exum,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,00
1629605,"Fall, Tacko",Tacko Fall,0,2019,2021,tacko_fall,tacko_fall,0,,,,,,Y,01
202324,"Favors, Derrick",Derrick Favors,0,2010,2021,derrick_favors,derrick_favors,0,,,,,,Y,11
1626245,"Felicio, Cristiano",Cristiano Felicio,0,2015,2020,cristiano_felicio,cristiano_felicio,0,,,,,,Y,01
1628390,"Ferguson, Terrance",Terrance Ferguson,0,2017,2020,terrance_ferguson,terrance_ferguson,0,,,,,,Y,01
1628981,"Fernando, Bruno",Bruno Fernando,1,2019,2024,bruno_fernando,bruno_fernando,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,01
1627812,"Ferrell, Yogi",Yogi Ferrell,0,2016,2020,yogi_ferrell,yogi_ferrell,0,,,,,,Y,01
1642271,"Filipowski, Kyle",Kyle Filipowski,0,2024,2024,kyle_filipowski,kyle_filipowski,0,,,,,,N,00
1627827,"Finney-Smith, Dorian",Dorian Finney-Smith,1,2016,2024,dorian_finney-smith,dorian_finney-smith,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,00
1630238,"Fitts, Malik",Malik Fitts,0,2020,2021,malik_fitts,malik_fitts,0,,,,,,Y,11
1641745,"Flagler, Adam",Adam Flagler,1,2023,2024,adam_flagler,adam_flagler,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,11
1642280,"Flowers, Trentyn",Trentyn Flowers,0,2024,2024,trentyn_flowers,trentyn_flowers,0,,,,,,N,00
1630201,"Flynn, Malachi",Malachi Flynn,1,2020,2024,malachi_flynn,malachi_flynn,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,01
1631323,"Fontecchio, Simone",Simone Fontecchio,1,2022,2024,simone_fontecchio,simone_fontecchio,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
1627854,"Forbes, Bryn",Bryn Forbes,0,2016,2022,bryn_forbes,bryn_forbes,0,,,,,,Y,01
1630758,"Ford, Aleem",Aleem Ford,0,2021,2021,aleem_ford,aleem_ford,0,,,,,,Y,11
1630259,"Ford, Jordan",Jordan Ford,1,2023,2024,jordan_ford,jordan_ford,1610612758,Sacramento,Kings,SAC,kings,kings,Y,11
1630235,"Forrest, Trent",Trent Forrest,1,2020,2024,trent_forrest,trent_forrest,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,11
1630701,"Foster Jr., Michael",Michael Foster Jr.,0,2022,2022,michael_foster_jr,michael_foster_jr,0,,,,,,Y,11
203095,"Fournier, Evan",Evan Fournier,1,2012,2023,evan_fournier,evan_fournier,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
1628368,"Fox, De'Aaron",De'Aaron Fox,1,2017,2024,de'aaron_fox,deaaron_fox,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
1629606,"Franks, Robert",Robert Franks,0,2020,2020,robert_franks,robert_franks,0,,,,,,Y,01
204025,"Frazier, Tim",Tim Frazier,0,2014,2021,tim_frazier,tim_frazier,0,,,,,,Y,01
1628982,"Frazier Jr., Melvin",Melvin Frazier Jr.,0,2018,2021,melvin_frazier_jr,melvin_frazier_jr,0,,,,,,Y,11
202683,"Freedom, Enes",Enes Freedom,0,2011,2021,enes_freedom,enes_freedom,0,,,,,,Y,00
1642402,"Freeman, Enrique",Enrique Freeman,0,2024,2024,enrique_freeman,enrique_freeman,0,,,,,,N,00
1631241,"Freeman-Liberty, Javon",Javon Freeman-Liberty,1,2023,2023,javon_freeman-liberty,javon_freeman-liberty,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11
1641788,"Fudge, Alex",Alex Fudge,1,2023,2024,alex_fudge,alex_fudge,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,11
1628365,"Fultz, Markelle",Markelle Fultz,1,2017,2023,markelle_fultz,markelle_fultz,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
1641847,"Funk, Andrew",Andrew Funk,1,2023,2023,andrew_funk,andrew_funk,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11
1642277,"Furphy, Johnny",Johnny Furphy,0,2024,2024,johnny_furphy,johnny_furphy,0,,,,,,N,00
1629117,"Gabriel, Wenyen",Wenyen Gabriel,0,2018,2023,wenyen_gabriel,wenyen_gabriel,0,,,,,,Y,11
1629655,"Gafford, Daniel",Daniel Gafford,1,2019,2024,daniel_gafford,daniel_gafford,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01
201568,"Gallinari, Danilo",Danilo Gallinari,1,2008,2024,danilo_gallinari,danilo_gallinari,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
1641945,"Galloway, Jaylin",Jaylin Galloway,1,2023,2023,jaylin_galloway,jaylin_galloway,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,N,11
204038,"Galloway, Langston",Langston Galloway,0,2014,2021,langston_galloway,langston_galloway,0,,,,,,Y,01
1629636,"Garland, Darius",Darius Garland,1,2019,2024,darius_garland,darius_garland,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
1630585,"Garrett, Marcus",Marcus Garrett,0,2021,2021,marcus_garrett,marcus_garrett,0,,,,,,Y,11
1630586,"Garuba, Usman",Usman Garuba,1,2021,2024,usman_garuba,usman_garuba,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,11
