ID,Name,Team,Season,Salary,Type
201939.0,Stephen Curry,GSW,2023-24,51915615,Guaranteed
201939.0,Stephen Curry,GSW,2024-25,55761217,Guaranteed
201939.0,Stephen Curry,GSW,2025-26,59606817,Guaranteed
201939.0,Stephen Curry,GSW,2026-27,0,Free Agent
201939.0,Stephen Curry,GSW,2027-28,0,Free Agent
201939.0,Stephen Curry,GSW,2028-29,0,Free Agent
201142.0,Kevin Durant,PHX,2023-24,47649433,Guaranteed
201142.0,Kevin Durant,PHX,2024-25,51179020,Guaranteed
201142.0,Kevin Durant,PHX,2025-26,54708608,Guaranteed
201142.0,Kevin Durant,PHX,2026-27,0,Free Agent
201142.0,Kevin Durant,PHX,2027-28,0,Free Agent
201142.0,Kevin Durant,PHX,2028-29,0,Free Agent
203999.0,Nikola Jokic,DEN,2023-24,47607350,Guaranteed
203999.0,Nikola Jokic,DEN,2024-25,51415938,Guaranteed
203999.0,Nikola Jokic,DEN,2025-26,55224526,Guaranteed
203999.0,Nikola Jokic,DEN,2026-27,59033114,Guaranteed
203999.0,Nikola Jokic,DEN,2027-28,62841702,Player Option
203999.0,Nikola Jokic,DEN,2028-29,0,Free Agent
2544.0,LeBron James,LAL,2023-24,47607350,Guaranteed
2544.0,LeBron James,LAL,2024-25,51415938,Player Option
2544.0,LeBron James,LAL,2025-26,0,Free Agent
2544.0,LeBron James,LAL,2026-27,0,Free Agent
2544.0,LeBron James,LAL,2027-28,0,Free Agent
2544.0,LeBron James,LAL,2028-29,0,Free Agent
203954.0,Joel Embiid,PHI,2023-24,47607350,Guaranteed
203954.0,Joel Embiid,PHI,2024-25,51415938,Guaranteed
203954.0,Joel Embiid,PHI,2025-26,55224526,Guaranteed
203954.0,Joel Embiid,PHI,2026-27,59033114,Player Option
203954.0,Joel Embiid,PHI,2027-28,0,Free Agent
203954.0,Joel Embiid,PHI,2028-29,0,Free Agent
203078.0,Bradley Beal,PHX,2023-24,46741590,Guaranteed
203078.0,Bradley Beal,PHX,2024-25,50203930,Guaranteed
203078.0,Bradley Beal,PHX,2025-26,53666270,Guaranteed
203078.0,Bradley Beal,PHX,2026-27,57128610,Guaranteed
203078.0,Bradley Beal,PHX,2027-28,0,Free Agent
203078.0,Bradley Beal,PHX,2028-29,0,Free Agent
202695.0,Kawhi Leonard,LAC,2023-24,45640084,Guaranteed
202695.0,Kawhi Leonard,LAC,2024-25,52368085,Guaranteed
202695.0,Kawhi Leonard,LAC,2025-26,50000000,Guaranteed
202695.0,Kawhi Leonard,LAC,2026-27,50300000,Guaranteed
202695.0,Kawhi Leonard,LAC,2027-28,0,Free Agent
202695.0,Kawhi Leonard,LAC,2028-29,0,Free Agent
202331.0,Paul George,PHI,2023-24,45640084,Guaranteed
202331.0,Paul George,PHI,2024-25,48787676,Player Option
202331.0,Paul George,PHI,2025-26,0,Free Agent
202331.0,Paul George,PHI,2026-27,0,Free Agent
202331.0,Paul George,PHI,2027-28,0,Free Agent
202331.0,Paul George,PHI,2028-29,0,Free Agent
203507.0,Giannis Antetokounmpo,MIL,2023-24,45640084,Guaranteed
203507.0,Giannis Antetokounmpo,MIL,2024-25,48787676,Guaranteed
203507.0,Giannis Antetokounmpo,MIL,2025-26,57604894,Guaranteed
203507.0,Giannis Antetokounmpo,MIL,2026-27,62213285,Guaranteed
203507.0,Giannis Antetokounmpo,MIL,2027-28,66821676,Player Option
